family,genus,keyword,action,video_path
felidae,acinonyx,cheetah,battle,55tZ56uhecQ
felidae,acinonyx,cheetah,battle,aJHYiwOcn7A
felidae,acinonyx,cheetah,battle,cCN07kzYeUs
felidae,acinonyx,cheetah,battle,cuL9W6M0kBk
felidae,acinonyx,cheetah,battle,DXTxOXNL2-8
felidae,acinonyx,cheetah,battle,eGm7k73MbkY
felidae,acinonyx,cheetah,battle,f703U6NHKRs
felidae,acinonyx,cheetah,battle,HC9ZijqVmyE
felidae,acinonyx,cheetah,battle,imVc-6fmAOY
felidae,acinonyx,cheetah,battle,izm_N1kDfDY
felidae,acinonyx,cheetah,battle,JXx83vNjgMI
felidae,acinonyx,cheetah,battle,P1v_e7Vb6mU
felidae,acinonyx,cheetah,battle,pma2pt2PdTI
felidae,acinonyx,cheetah,battle,pVSKBmPe3wQ
felidae,acinonyx,cheetah,battle,qKUj2F_UplU
felidae,acinonyx,cheetah,battle,sxNh8o1aqTA
felidae,acinonyx,cheetah,battle,wjl1sahew3M
felidae,acinonyx,cheetah,battle,zHIGIV5t9go
felidae,acinonyx,cheetah,birth,_RhMUltAnf0
felidae,acinonyx,cheetah,birth,_xK5cGcJ51U
felidae,acinonyx,cheetah,birth,3cYcPMfSmD4
felidae,acinonyx,cheetah,birth,4czjasUxT4U
felidae,acinonyx,cheetah,birth,4i9cwnINsqM
felidae,acinonyx,cheetah,birth,6E9U01wrINE
felidae,acinonyx,cheetah,birth,7e3a3DwSD4E
felidae,acinonyx,cheetah,birth,8mD51TgHZg4
felidae,acinonyx,cheetah,birth,8ubKOFv6RoU
felidae,acinonyx,cheetah,birth,9dtRkZWPUzo
felidae,acinonyx,cheetah,birth,a765xKW6t7A
felidae,acinonyx,cheetah,birth,Ag3K_iZPYSE
felidae,acinonyx,cheetah,birth,bMhz3Gz-DJ0
felidae,acinonyx,cheetah,birth,c_zJ-LPd8Yg
felidae,acinonyx,cheetah,birth,cA1TrQJY2hI
felidae,acinonyx,cheetah,birth,CxBuRYA9Voo
felidae,acinonyx,cheetah,birth,Exr51exCjjI
